Timestamp,BP_KW(kW)
03-Dec-23 6:25 AM ICT,0.3
03-Dec-23 6:30 AM ICT,0.3
03-Dec-23 6:35 AM ICT,0.3
03-Dec-23 6:40 AM ICT,0.3
03-Dec-23 6:45 AM ICT,0.3
03-Dec-23 6:50 AM ICT,0.3
03-Dec-23 6:55 AM ICT,0.3
03-Dec-23 7:00 AM ICT,0.3
03-Dec-23 7:05 AM ICT,0.3
03-Dec-23 7:10 AM ICT,0.3
03-Dec-23 7:15 AM ICT,0.3
03-Dec-23 7:20 AM ICT,0.3
03-Dec-23 7:25 AM ICT,0.3
03-Dec-23 7:30 AM ICT,0.3
03-Dec-23 7:35 AM ICT,0.3
03-Dec-23 7:40 AM ICT,0.3
03-Dec-23 7:45 AM ICT,0.3
03-Dec-23 7:50 AM ICT,0.3
03-Dec-23 7:55 AM ICT,0.6
03-Dec-23 8:00 AM ICT,0.6
03-Dec-23 8:05 AM ICT,8.1
03-Dec-23 8:10 AM ICT,8.5
03-Dec-23 8:15 AM ICT,9.3
03-Dec-23 8:20 AM ICT,8.1
03-Dec-23 8:25 AM ICT,1.4
03-Dec-23 8:30 AM ICT,4.7
03-Dec-23 8:35 AM ICT,4.1
03-Dec-23 8:40 AM ICT,1.9
03-Dec-23 8:45 AM ICT,5.4
03-Dec-23 8:50 AM ICT,3.1
03-Dec-23 8:55 AM ICT,7.7
03-Dec-23 9:00 AM ICT,5.6
03-Dec-23 9:05 AM ICT,3.9
03-Dec-23 9:10 AM ICT,4.1
03-Dec-23 9:15 AM ICT,5.7
03-Dec-23 9:20 AM ICT,2.4
03-Dec-23 9:25 AM ICT,4.9
03-Dec-23 9:30 AM ICT,5.2
03-Dec-23 9:35 AM ICT,2.7
03-Dec-23 9:40 AM ICT,5.0
03-Dec-23 9:45 AM ICT,4.5
03-Dec-23 9:50 AM ICT,6.0
03-Dec-23 9:55 AM ICT,4.7
03-Dec-23 10:00 AM ICT,2.9
03-Dec-23 10:05 AM ICT,8.1
03-Dec-23 10:10 AM ICT,5.0
03-Dec-23 10:15 AM ICT,5.9
03-Dec-23 10:20 AM ICT,3.6
03-Dec-23 10:25 AM ICT,8.9
03-Dec-23 10:30 AM ICT,4.5
03-Dec-23 10:35 AM ICT,6.5
03-Dec-23 10:40 AM ICT,6.8
03-Dec-23 10:45 AM ICT,2.9
03-Dec-23 10:50 AM ICT,7.4
03-Dec-23 10:55 AM ICT,5.5
03-Dec-23 11:00 AM ICT,5.9
03-Dec-23 11:05 AM ICT,5.5
03-Dec-23 11:10 AM ICT,9.9
03-Dec-23 11:15 AM ICT,3.6
03-Dec-23 11:20 AM ICT,6.1
03-Dec-23 11:25 AM ICT,2.8
03-Dec-23 11:30 AM ICT,8.5
03-Dec-23 11:35 AM ICT,3.7
03-Dec-23 11:40 AM ICT,3.3
03-Dec-23 11:45 AM ICT,4.1
03-Dec-23 11:50 AM ICT,2.4
03-Dec-23 11:55 AM ICT,3.5
03-Dec-23 12:00 PM ICT,4.5
03-Dec-23 12:05 PM ICT,1.4
03-Dec-23 12:10 PM ICT,1.1
03-Dec-23 12:15 PM ICT,1.1
03-Dec-23 12:20 PM ICT,6.6
03-Dec-23 12:25 PM ICT,2.3
03-Dec-23 12:30 PM ICT,2.3
03-Dec-23 12:35 PM ICT,2.3
03-Dec-23 12:40 PM ICT,6.0
03-Dec-23 12:45 PM ICT,2.3
03-Dec-23 12:50 PM ICT,1.6
03-Dec-23 12:55 PM ICT,1.2
03-Dec-23 1:00 PM ICT,2.2
03-Dec-23 1:05 PM ICT,3.6
03-Dec-23 1:10 PM ICT,1.6
03-Dec-23 1:15 PM ICT,2.0
03-Dec-23 1:20 PM ICT,3.5
03-Dec-23 1:25 PM ICT,4.2
03-Dec-23 1:30 PM ICT,2.4
03-Dec-23 1:35 PM ICT,3.5
03-Dec-23 1:40 PM ICT,6.1
03-Dec-23 1:45 PM ICT,2.5
03-Dec-23 1:50 PM ICT,5.8
03-Dec-23 1:55 PM ICT,1.7
03-Dec-23 2:00 PM ICT,6.4
03-Dec-23 2:05 PM ICT,2.0
03-Dec-23 2:10 PM ICT,6.5
03-Dec-23 2:15 PM ICT,3.7
03-Dec-23 2:20 PM ICT,2.0
03-Dec-23 2:25 PM ICT,0.8
03-Dec-23 2:30 PM ICT,4.7
03-Dec-23 2:35 PM ICT,1.2
03-Dec-23 2:40 PM ICT,1.2
03-Dec-23 2:45 PM ICT,3.8
03-Dec-23 2:50 PM ICT,2.0
03-Dec-23 2:55 PM ICT,1.4
03-Dec-23 3:00 PM ICT,1.3
03-Dec-23 3:05 PM ICT,1.1
03-Dec-23 3:10 PM ICT,4.1
03-Dec-23 3:15 PM ICT,1.5
03-Dec-23 3:20 PM ICT,1.0
03-Dec-23 3:25 PM ICT,2.1
03-Dec-23 3:30 PM ICT,2.8
03-Dec-23 3:35 PM ICT,1.1
03-Dec-23 3:40 PM ICT,5.7
03-Dec-23 3:45 PM ICT,1.0
03-Dec-23 3:50 PM ICT,1.1
03-Dec-23 3:55 PM ICT,1.2
03-Dec-23 4:00 PM ICT,3.5
03-Dec-23 4:05 PM ICT,2.2
03-Dec-23 4:10 PM ICT,2.4
03-Dec-23 4:15 PM ICT,1.3
03-Dec-23 4:20 PM ICT,2.1
03-Dec-23 4:25 PM ICT,4.5
03-Dec-23 4:30 PM ICT,1.9
03-Dec-23 4:35 PM ICT,2.0
03-Dec-23 4:40 PM ICT,1.7
03-Dec-23 4:45 PM ICT,1.4
03-Dec-23 4:50 PM ICT,1.2
03-Dec-23 4:55 PM ICT,2.0
03-Dec-23 5:00 PM ICT,1.2
03-Dec-23 5:05 PM ICT,0.5
03-Dec-23 5:10 PM ICT,0.3
03-Dec-23 5:15 PM ICT,0.3
03-Dec-23 5:20 PM ICT,0.3
03-Dec-23 5:25 PM ICT,0.3
03-Dec-23 5:30 PM ICT,0.3
03-Dec-23 5:35 PM ICT,0.4
03-Dec-23 5:40 PM ICT,0.4
03-Dec-23 5:50 PM ICT,0.4
03-Dec-23 5:55 PM ICT,0.4
03-Dec-23 6:00 PM ICT,0.4
03-Dec-23 6:05 PM ICT,0.4
03-Dec-23 6:10 PM ICT,0.4
03-Dec-23 6:15 PM ICT,0.4
03-Dec-23 6:20 PM ICT,0.4
03-Dec-23 6:25 PM ICT,0.4
03-Dec-23 6:30 PM ICT,0.4
03-Dec-23 6:35 PM ICT,0.4
03-Dec-23 6:40 PM ICT,0.4
03-Dec-23 6:45 PM ICT,0.4
03-Dec-23 6:50 PM ICT,0.4
03-Dec-23 6:55 PM ICT,0.4
03-Dec-23 7:00 PM ICT,0.4
03-Dec-23 7:05 PM ICT,0.5
03-Dec-23 7:10 PM ICT,0.4
03-Dec-23 7:15 PM ICT,0.4
03-Dec-23 7:20 PM ICT,0.4
03-Dec-23 7:25 PM ICT,0.4
03-Dec-23 7:30 PM ICT,0.4
03-Dec-23 7:35 PM ICT,0.4
03-Dec-23 7:40 PM ICT,0.4
03-Dec-23 7:45 PM ICT,0.4
03-Dec-23 7:50 PM ICT,0.4
03-Dec-23 7:55 PM ICT,0.4
03-Dec-23 8:00 PM ICT,0.4
03-Dec-23 8:05 PM ICT,0.4
03-Dec-23 8:10 PM ICT,0.4
03-Dec-23 8:20 PM ICT,0.4
03-Dec-23 8:25 PM ICT,0.4
03-Dec-23 8:30 PM ICT,0.4
03-Dec-23 8:35 PM ICT,0.4
03-Dec-23 8:40 PM ICT,0.4
03-Dec-23 8:45 PM ICT,0.4
03-Dec-23 8:50 PM ICT,0.4
03-Dec-23 8:55 PM ICT,0.4
03-Dec-23 9:00 PM ICT,0.4
03-Dec-23 9:05 PM ICT,0.4
03-Dec-23 9:10 PM ICT,0.4
03-Dec-23 9:15 PM ICT,0.4
03-Dec-23 9:20 PM ICT,0.4
03-Dec-23 9:25 PM ICT,0.4
03-Dec-23 9:30 PM ICT,0.4
03-Dec-23 9:35 PM ICT,0.4
03-Dec-23 9:40 PM ICT,0.4
03-Dec-23 9:45 PM ICT,0.4
03-Dec-23 9:50 PM ICT,0.4
03-Dec-23 9:55 PM ICT,0.4
03-Dec-23 10:00 PM ICT,0.4
03-Dec-23 10:05 PM ICT,0.4
03-Dec-23 10:10 PM ICT,0.4
03-Dec-23 10:15 PM ICT,0.4
03-Dec-23 10:20 PM ICT,0.4
03-Dec-23 10:25 PM ICT,0.4
03-Dec-23 10:30 PM ICT,0.4
03-Dec-23 10:35 PM ICT,0.4
03-Dec-23 10:40 PM ICT,0.4
03-Dec-23 10:45 PM ICT,0.4
03-Dec-23 10:50 PM ICT,0.4
03-Dec-23 10:55 PM ICT,0.4
03-Dec-23 11:00 PM ICT,0.4
03-Dec-23 11:05 PM ICT,0.4
03-Dec-23 11:10 PM ICT,0.4
03-Dec-23 11:15 PM ICT,0.4
03-Dec-23 11:20 PM ICT,0.4
03-Dec-23 11:25 PM ICT,0.4
03-Dec-23 11:30 PM ICT,0.4
03-Dec-23 11:35 PM ICT,0.4
03-Dec-23 11:40 PM ICT,0.4
03-Dec-23 11:45 PM ICT,0.4
03-Dec-23 11:50 PM ICT,0.4
03-Dec-23 11:55 PM ICT,0.4
04-Dec-23 12:00 AM ICT,0.4
04-Dec-23 12:05 AM ICT,0.4
04-Dec-23 12:10 AM ICT,0.4
04-Dec-23 12:15 AM ICT,0.4
04-Dec-23 12:20 AM ICT,0.4
04-Dec-23 12:25 AM ICT,0.4
04-Dec-23 12:30 AM ICT,0.4
04-Dec-23 12:35 AM ICT,0.4
04-Dec-23 12:40 AM ICT,0.4
04-Dec-23 12:45 AM ICT,0.4
04-Dec-23 12:50 AM ICT,0.4
04-Dec-23 12:55 AM ICT,0.4
04-Dec-23 1:00 AM ICT,0.4
04-Dec-23 1:05 AM ICT,0.4
04-Dec-23 1:10 AM ICT,0.4
04-Dec-23 1:15 AM ICT,0.4
04-Dec-23 1:20 AM ICT,0.4
04-Dec-23 1:25 AM ICT,0.4
04-Dec-23 1:30 AM ICT,0.4
04-Dec-23 1:35 AM ICT,0.4
04-Dec-23 1:40 AM ICT,0.4
04-Dec-23 1:45 AM ICT,0.4
04-Dec-23 1:50 AM ICT,0.4
04-Dec-23 1:55 AM ICT,0.4
04-Dec-23 2:00 AM ICT,0.4
04-Dec-23 2:05 AM ICT,0.4
04-Dec-23 2:10 AM ICT,0.4
04-Dec-23 2:15 AM ICT,0.4
04-Dec-23 2:20 AM ICT,0.4
04-Dec-23 2:25 AM ICT,0.4
04-Dec-23 2:30 AM ICT,0.4
04-Dec-23 2:35 AM ICT,0.4
04-Dec-23 2:40 AM ICT,0.4
04-Dec-23 2:45 AM ICT,0.4
04-Dec-23 2:50 AM ICT,0.4
04-Dec-23 2:55 AM ICT,0.4
04-Dec-23 3:00 AM ICT,0.4
04-Dec-23 3:05 AM ICT,0.4
04-Dec-23 3:10 AM ICT,0.4
04-Dec-23 3:15 AM ICT,0.4
04-Dec-23 3:20 AM ICT,0.4
04-Dec-23 3:25 AM ICT,0.4
04-Dec-23 3:30 AM ICT,0.4
04-Dec-23 3:35 AM ICT,0.4
04-Dec-23 3:40 AM ICT,0.4
04-Dec-23 3:45 AM ICT,0.4
04-Dec-23 3:50 AM ICT,0.4
04-Dec-23 3:55 AM ICT,0.4
04-Dec-23 4:00 AM ICT,0.4
04-Dec-23 4:05 AM ICT,0.4
04-Dec-23 4:10 AM ICT,0.4
04-Dec-23 4:15 AM ICT,0.4
04-Dec-23 4:20 AM ICT,0.4
04-Dec-23 4:25 AM ICT,0.4
04-Dec-23 4:30 AM ICT,0.4
04-Dec-23 4:35 AM ICT,0.4
04-Dec-23 4:40 AM ICT,0.4
04-Dec-23 4:45 AM ICT,0.4
04-Dec-23 4:50 AM ICT,0.4
04-Dec-23 4:55 AM ICT,0.4
04-Dec-23 5:00 AM ICT,0.4
04-Dec-23 5:05 AM ICT,0.4
04-Dec-23 5:10 AM ICT,0.4
04-Dec-23 5:15 AM ICT,0.4
04-Dec-23 5:20 AM ICT,0.4
04-Dec-23 5:25 AM ICT,0.4
04-Dec-23 5:30 AM ICT,0.2
04-Dec-23 5:35 AM ICT,0.1
04-Dec-23 5:40 AM ICT,0.1
04-Dec-23 5:45 AM ICT,0.1
04-Dec-23 5:50 AM ICT,0.1
04-Dec-23 6:00 AM ICT,0.1
04-Dec-23 6:05 AM ICT,0.1
04-Dec-23 6:10 AM ICT,0.0
04-Dec-23 6:15 AM ICT,0.1
04-Dec-23 6:20 AM ICT,0.1
04-Dec-23 6:25 AM ICT,0.1
04-Dec-23 6:30 AM ICT,0.1
04-Dec-23 6:35 AM ICT,0.5
04-Dec-23 6:40 AM ICT,0.6
04-Dec-23 6:45 AM ICT,0.6
04-Dec-23 6:50 AM ICT,0.6
04-Dec-23 6:55 AM ICT,0.6
04-Dec-23 7:00 AM ICT,0.7
04-Dec-23 7:05 AM ICT,0.6
04-Dec-23 7:10 AM ICT,0.6
04-Dec-23 7:15 AM ICT,0.6
04-Dec-23 7:20 AM ICT,0.6
04-Dec-23 7:25 AM ICT,0.6
04-Dec-23 7:30 AM ICT,0.6
04-Dec-23 7:35 AM ICT,0.6
04-Dec-23 7:40 AM ICT,0.6
04-Dec-23 7:45 AM ICT,1.3
04-Dec-23 7:50 AM ICT,6.3
04-Dec-23 7:55 AM ICT,11.0
04-Dec-23 8:00 AM ICT,10.6
04-Dec-23 8:05 AM ICT,15.4
04-Dec-23 8:10 AM ICT,14.4
04-Dec-23 8:15 AM ICT,14.2
04-Dec-23 8:20 AM ICT,10.7
04-Dec-23 8:25 AM ICT,11.9
04-Dec-23 8:30 AM ICT,11.3
04-Dec-23 8:35 AM ICT,7.0
04-Dec-23 8:40 AM ICT,15.8
04-Dec-23 8:45 AM ICT,20.9
04-Dec-23 8:50 AM ICT,18.3
04-Dec-23 8:55 AM ICT,26.4
04-Dec-23 9:00 AM ICT,18.8
04-Dec-23 9:05 AM ICT,26.3
04-Dec-23 9:10 AM ICT,27.0
04-Dec-23 9:15 AM ICT,20.8
04-Dec-23 9:20 AM ICT,30.8
04-Dec-23 9:25 AM ICT,26.0
04-Dec-23 9:30 AM ICT,36.0
04-Dec-23 9:35 AM ICT,33.3
04-Dec-23 9:40 AM ICT,29.6
04-Dec-23 9:45 AM ICT,36.8
04-Dec-23 9:50 AM ICT,32.2
04-Dec-23 9:55 AM ICT,30.6
04-Dec-23 10:00 AM ICT,36.0
04-Dec-23 10:05 AM ICT,29.7
04-Dec-23 10:10 AM ICT,16.6
04-Dec-23 10:15 AM ICT,24.8
04-Dec-23 10:20 AM ICT,22.4
04-Dec-23 10:25 AM ICT,21.5
04-Dec-23 10:30 AM ICT,20.6
04-Dec-23 10:35 AM ICT,21.5
04-Dec-23 10:40 AM ICT,16.7
04-Dec-23 10:45 AM ICT,12.8
04-Dec-23 10:50 AM ICT,12.3
04-Dec-23 10:55 AM ICT,9.8
04-Dec-23 11:00 AM ICT,18.1
04-Dec-23 11:05 AM ICT,12.6
04-Dec-23 11:10 AM ICT,10.9
04-Dec-23 11:15 AM ICT,14.2
04-Dec-23 11:20 AM ICT,21.9
04-Dec-23 11:25 AM ICT,17.7
04-Dec-23 11:30 AM ICT,23.9
04-Dec-23 11:35 AM ICT,13.1
04-Dec-23 11:40 AM ICT,19.1
04-Dec-23 11:45 AM ICT,13.0
04-Dec-23 11:50 AM ICT,7.1
04-Dec-23 11:55 AM ICT,14.1
04-Dec-23 12:00 PM ICT,14.2
04-Dec-23 12:05 PM ICT,8.5
04-Dec-23 12:10 PM ICT,8.7
04-Dec-23 12:15 PM ICT,10.0
04-Dec-23 12:20 PM ICT,11.0
04-Dec-23 12:25 PM ICT,8.6
04-Dec-23 12:30 PM ICT,8.3
04-Dec-23 12:35 PM ICT,10.4
04-Dec-23 12:40 PM ICT,6.5
04-Dec-23 12:45 PM ICT,12.7
04-Dec-23 12:50 PM ICT,8.7
04-Dec-23 12:55 PM ICT,12.9
04-Dec-23 1:00 PM ICT,11.7
04-Dec-23 1:05 PM ICT,8.7
04-Dec-23 1:10 PM ICT,13.8
04-Dec-23 1:15 PM ICT,9.4
04-Dec-23 1:20 PM ICT,15.4
04-Dec-23 1:25 PM ICT,10.2
04-Dec-23 1:30 PM ICT,14.8
04-Dec-23 1:35 PM ICT,12.0
04-Dec-23 1:40 PM ICT,23.5
04-Dec-23 1:45 PM ICT,19.0
04-Dec-23 1:50 PM ICT,24.6
04-Dec-23 1:55 PM ICT,19.7
04-Dec-23 2:00 PM ICT,25.7
04-Dec-23 2:05 PM ICT,21.4
04-Dec-23 2:10 PM ICT,13.1
04-Dec-23 2:15 PM ICT,12.6
04-Dec-23 2:20 PM ICT,12.5
04-Dec-23 2:25 PM ICT,9.6
04-Dec-23 2:30 PM ICT,22.4
04-Dec-23 2:35 PM ICT,28.0
04-Dec-23 2:40 PM ICT,29.0
04-Dec-23 2:45 PM ICT,26.7
04-Dec-23 2:50 PM ICT,31.1
04-Dec-23 2:55 PM ICT,29.4
04-Dec-23 3:00 PM ICT,23.5
04-Dec-23 3:05 PM ICT,30.1
04-Dec-23 3:10 PM ICT,28.9
04-Dec-23 3:15 PM ICT,23.2
04-Dec-23 3:20 PM ICT,24.5
04-Dec-23 3:25 PM ICT,30.9
04-Dec-23 3:30 PM ICT,29.9
04-Dec-23 3:35 PM ICT,28.3
04-Dec-23 3:40 PM ICT,35.9
04-Dec-23 3:45 PM ICT,32.7
04-Dec-23 3:50 PM ICT,24.2
04-Dec-23 3:55 PM ICT,21.9
04-Dec-23 4:00 PM ICT,24.2
04-Dec-23 4:05 PM ICT,31.1
04-Dec-23 4:10 PM ICT,20.5
04-Dec-23 4:15 PM ICT,24.4
04-Dec-23 4:20 PM ICT,20.4
04-Dec-23 4:25 PM ICT,21.1
04-Dec-23 4:30 PM ICT,17.7
04-Dec-23 4:35 PM ICT,15.7
04-Dec-23 4:40 PM ICT,5.1
04-Dec-23 4:45 PM ICT,9.6
04-Dec-23 4:50 PM ICT,3.2
04-Dec-23 4:55 PM ICT,2.5
04-Dec-23 5:00 PM ICT,3.8
04-Dec-23 5:05 PM ICT,0.9
04-Dec-23 5:45 PM ICT,0.5
04-Dec-23 5:50 PM ICT,0.5
04-Dec-23 5:55 PM ICT,0.5
04-Dec-23 6:00 PM ICT,0.5
04-Dec-23 6:05 PM ICT,0.5
04-Dec-23 6:10 PM ICT,0.5
04-Dec-23 6:15 PM ICT,0.5
04-Dec-23 6:20 PM ICT,0.5
04-Dec-23 6:25 PM ICT,0.5
04-Dec-23 6:30 PM ICT,0.5
04-Dec-23 6:35 PM ICT,0.5
04-Dec-23 6:40 PM ICT,0.5
04-Dec-23 6:45 PM ICT,0.5
04-Dec-23 6:50 PM ICT,0.5
04-Dec-23 6:55 PM ICT,0.5
04-Dec-23 7:00 PM ICT,0.3
04-Dec-23 7:05 PM ICT,0.5
04-Dec-23 7:10 PM ICT,0.5
04-Dec-23 7:15 PM ICT,0.5
04-Dec-23 7:20 PM ICT,0.5
04-Dec-23 7:25 PM ICT,0.5
04-Dec-23 7:30 PM ICT,0.5
04-Dec-23 7:35 PM ICT,0.5
04-Dec-23 7:40 PM ICT,0.5
04-Dec-23 7:45 PM ICT,0.5
04-Dec-23 7:50 PM ICT,0.5
04-Dec-23 7:55 PM ICT,0.5
04-Dec-23 8:00 PM ICT,0.5
04-Dec-23 8:05 PM ICT,0.5
04-Dec-23 8:10 PM ICT,0.5
04-Dec-23 8:15 PM ICT,0.5
04-Dec-23 8:20 PM ICT,0.5
04-Dec-23 8:25 PM ICT,0.5
04-Dec-23 8:30 PM ICT,0.5
04-Dec-23 8:35 PM ICT,0.5
04-Dec-23 8:40 PM ICT,0.5
04-Dec-23 8:45 PM ICT,0.5
04-Dec-23 8:50 PM ICT,0.5
04-Dec-23 8:55 PM ICT,0.5
04-Dec-23 9:00 PM ICT,0.5
04-Dec-23 9:05 PM ICT,0.5
04-Dec-23 9:10 PM ICT,0.5
04-Dec-23 9:15 PM ICT,0.5
04-Dec-23 9:20 PM ICT,0.5
04-Dec-23 9:25 PM ICT,0.5
04-Dec-23 9:30 PM ICT,0.5
04-Dec-23 9:35 PM ICT,0.5
04-Dec-23 9:40 PM ICT,0.5
04-Dec-23 9:45 PM ICT,0.5
04-Dec-23 9:50 PM ICT,0.5
04-Dec-23 9:55 PM ICT,0.5
04-Dec-23 10:00 PM ICT,0.5
04-Dec-23 10:05 PM ICT,0.5
04-Dec-23 10:10 PM ICT,0.5
04-Dec-23 10:15 PM ICT,0.5
04-Dec-23 10:20 PM ICT,0.5
04-Dec-23 10:25 PM ICT,0.5
04-Dec-23 10:30 PM ICT,0.5
04-Dec-23 10:35 PM ICT,0.5
04-Dec-23 10:40 PM ICT,0.5
04-Dec-23 10:45 PM ICT,0.5
04-Dec-23 10:50 PM ICT,0.5
04-Dec-23 10:55 PM ICT,0.5
04-Dec-23 11:00 PM ICT,0.5
04-Dec-23 11:05 PM ICT,0.5
04-Dec-23 11:10 PM ICT,0.5
04-Dec-23 11:15 PM ICT,0.5
04-Dec-23 11:20 PM ICT,0.5
04-Dec-23 11:25 PM ICT,0.5
04-Dec-23 11:30 PM ICT,0.5
04-Dec-23 11:35 PM ICT,0.5
04-Dec-23 11:40 PM ICT,0.5
04-Dec-23 11:45 PM ICT,0.5
04-Dec-23 11:50 PM ICT,0.5
04-Dec-23 11:55 PM ICT,0.5
05-Dec-23 12:00 AM ICT,0.5
05-Dec-23 12:05 AM ICT,0.5
05-Dec-23 12:10 AM ICT,0.4
05-Dec-23 12:15 AM ICT,0.5
05-Dec-23 12:20 AM ICT,0.5
05-Dec-23 12:25 AM ICT,0.5
05-Dec-23 12:30 AM ICT,0.5
05-Dec-23 12:35 AM ICT,0.5
05-Dec-23 12:40 AM ICT,0.5
05-Dec-23 12:45 AM ICT,0.5
05-Dec-23 12:50 AM ICT,0.5
05-Dec-23 12:55 AM ICT,0.5
05-Dec-23 1:00 AM ICT,0.5
05-Dec-23 1:05 AM ICT,0.5
05-Dec-23 1:10 AM ICT,0.5
05-Dec-23 1:15 AM ICT,0.5
05-Dec-23 1:20 AM ICT,0.5
05-Dec-23 1:25 AM ICT,0.5
05-Dec-23 1:30 AM ICT,0.5
05-Dec-23 1:35 AM ICT,0.5
05-Dec-23 1:40 AM ICT,0.5
05-Dec-23 1:45 AM ICT,0.5
05-Dec-23 1:50 AM ICT,0.5
05-Dec-23 1:55 AM ICT,0.5
05-Dec-23 2:00 AM ICT,0.5
05-Dec-23 2:05 AM ICT,0.5
05-Dec-23 2:10 AM ICT,0.5
05-Dec-23 2:15 AM ICT,0.5
05-Dec-23 2:20 AM ICT,0.5
05-Dec-23 2:25 AM ICT,0.5
05-Dec-23 2:30 AM ICT,0.5
05-Dec-23 2:35 AM ICT,0.5
05-Dec-23 2:40 AM ICT,0.5
05-Dec-23 2:45 AM ICT,0.5
05-Dec-23 2:50 AM ICT,0.5
05-Dec-23 2:55 AM ICT,0.5
05-Dec-23 3:00 AM ICT,0.5
05-Dec-23 3:05 AM ICT,0.5
05-Dec-23 3:10 AM ICT,0.5
05-Dec-23 3:15 AM ICT,0.5
05-Dec-23 3:20 AM ICT,0.5
05-Dec-23 3:25 AM ICT,0.5
05-Dec-23 3:30 AM ICT,0.5
05-Dec-23 3:35 AM ICT,0.5
05-Dec-23 3:40 AM ICT,0.5
05-Dec-23 3:45 AM ICT,0.5
05-Dec-23 3:50 AM ICT,0.5
05-Dec-23 3:55 AM ICT,0.5
05-Dec-23 4:00 AM ICT,0.5
05-Dec-23 4:05 AM ICT,0.5
05-Dec-23 4:10 AM ICT,0.5
05-Dec-23 4:15 AM ICT,0.5
05-Dec-23 4:20 AM ICT,0.5
05-Dec-23 4:25 AM ICT,0.5
05-Dec-23 4:30 AM ICT,0.5
05-Dec-23 4:35 AM ICT,0.5
05-Dec-23 4:40 AM ICT,0.5
05-Dec-23 4:45 AM ICT,0.5
05-Dec-23 4:50 AM ICT,0.5
05-Dec-23 4:55 AM ICT,0.5
05-Dec-23 5:00 AM ICT,0.5
05-Dec-23 5:05 AM ICT,0.6
05-Dec-23 5:10 AM ICT,0.7
05-Dec-23 5:15 AM ICT,0.7
05-Dec-23 5:20 AM ICT,0.7
05-Dec-23 5:25 AM ICT,0.7
05-Dec-23 5:30 AM ICT,0.4
05-Dec-23 5:35 AM ICT,0.3
05-Dec-23 5:40 AM ICT,0.2
05-Dec-23 6:55 AM ICT,0.2
05-Dec-23 7:00 AM ICT,0.3
05-Dec-23 7:05 AM ICT,0.3
05-Dec-23 7:10 AM ICT,0.7
05-Dec-23 7:15 AM ICT,1.5
05-Dec-23 7:20 AM ICT,1.3
05-Dec-23 7:25 AM ICT,1.3
05-Dec-23 7:30 AM ICT,1.1
05-Dec-23 7:35 AM ICT,0.9
05-Dec-23 7:40 AM ICT,0.7
05-Dec-23 7:45 AM ICT,0.8
05-Dec-23 7:50 AM ICT,8.3
05-Dec-23 7:55 AM ICT,15.9
05-Dec-23 8:00 AM ICT,17.6
05-Dec-23 8:05 AM ICT,15.0
05-Dec-23 8:10 AM ICT,9.4
05-Dec-23 8:15 AM ICT,9.1
05-Dec-23 8:20 AM ICT,9.5
05-Dec-23 8:25 AM ICT,12.4
05-Dec-23 8:30 AM ICT,5.1
05-Dec-23 8:35 AM ICT,7.0
05-Dec-23 8:40 AM ICT,14.8
05-Dec-23 8:45 AM ICT,10.7
05-Dec-23 8:50 AM ICT,9.2
05-Dec-23 8:55 AM ICT,5.8
05-Dec-23 9:00 AM ICT,9.9
05-Dec-23 9:05 AM ICT,6.7
05-Dec-23 9:10 AM ICT,10.9
05-Dec-23 9:15 AM ICT,8.5
05-Dec-23 9:20 AM ICT,13.7
05-Dec-23 9:25 AM ICT,12.7
05-Dec-23 9:30 AM ICT,14.0
05-Dec-23 9:35 AM ICT,14.7
05-Dec-23 9:40 AM ICT,9.8
05-Dec-23 9:45 AM ICT,12.0
05-Dec-23 9:50 AM ICT,16.0
05-Dec-23 9:55 AM ICT,8.3
05-Dec-23 10:00 AM ICT,13.0
05-Dec-23 10:05 AM ICT,12.8
05-Dec-23 10:10 AM ICT,14.4
05-Dec-23 10:15 AM ICT,12.9
05-Dec-23 10:20 AM ICT,9.4
05-Dec-23 10:25 AM ICT,17.6
05-Dec-23 10:30 AM ICT,13.8
05-Dec-23 10:35 AM ICT,14.4
05-Dec-23 10:40 AM ICT,11.6
05-Dec-23 10:45 AM ICT,12.4
05-Dec-23 10:50 AM ICT,15.8
05-Dec-23 10:55 AM ICT,13.0
05-Dec-23 11:00 AM ICT,15.6
05-Dec-23 11:05 AM ICT,13.5
05-Dec-23 11:10 AM ICT,14.8
05-Dec-23 11:15 AM ICT,11.5
05-Dec-23 11:20 AM ICT,13.0
05-Dec-23 11:25 AM ICT,12.3
05-Dec-23 11:30 AM ICT,16.5
05-Dec-23 11:35 AM ICT,10.5
05-Dec-23 11:40 AM ICT,11.1
05-Dec-23 11:45 AM ICT,14.0
05-Dec-23 11:50 AM ICT,16.5
05-Dec-23 11:55 AM ICT,11.5
05-Dec-23 12:00 PM ICT,11.7
05-Dec-23 12:05 PM ICT,8.6
05-Dec-23 12:10 PM ICT,6.1
05-Dec-23 12:15 PM ICT,8.0
05-Dec-23 12:20 PM ICT,10.6
05-Dec-23 12:25 PM ICT,5.5
05-Dec-23 12:30 PM ICT,14.3
05-Dec-23 12:35 PM ICT,4.9
05-Dec-23 12:40 PM ICT,6.3
05-Dec-23 12:45 PM ICT,8.1
05-Dec-23 12:50 PM ICT,6.2
05-Dec-23 12:55 PM ICT,8.9
05-Dec-23 1:00 PM ICT,9.1
05-Dec-23 1:05 PM ICT,7.7
05-Dec-23 1:10 PM ICT,8.4
05-Dec-23 1:15 PM ICT,9.9
